index,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Meaning of Type of operation or tax status code,Number of establishments,"Value of sales, shipments, receipts, revenue, or business done ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,Number of nonemployer establishments,"Nonemployer value of sales, shipments, receipts, revenue, or business done ($1,000)"
801,Missouri,62,Health care and social assistance,Establishments exempt from federal income tax,"3,122","22,172,271","8,222,205","2,069,341","215,022",N,N
802,Missouri,71,"Arts, entertainment, and recreation",All establishments,"2,095","3,715,821","1,340,665","263,802","38,190","19,151","327,066"
803,Missouri,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,"1,626","3,047,316","1,099,266","209,260","26,954",N,N
804,Missouri,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,469,"668,505","241,399","54,542","11,236",N,N
805,Missouri,72,Accommodation and food services,Total,"12,459","12,430,310","3,409,185","819,259","239,264","5,148","218,245"
806,Missouri,81,Other services (except public administration),All establishments,"10,357","6,979,915","1,834,903","446,326","62,825","66,093","1,538,841"
807,Missouri,81,Other services (except public administration),Establishments subject to federal income tax,"8,441","4,235,230","1,361,590","327,007","49,408",N,N
808,Missouri,81,Other services (except public administration),Establishments exempt from federal income tax,"1,916","2,744,685","473,313","119,319","13,417",N,N
809,Montana,21,"Mining, quarrying, and oil and gas extraction",Total,327,"5,668,246","587,887",N,"8,651",809,"62,134"
810,Montana,22,Utilities,Total,204,Q,"232,408","61,658","2,925",94,"5,877"
811,Montana,23,Construction,Total,"4,326","5,154,319","971,125","196,321","23,980","11,810","616,716"
812,Montana,31-33,Manufacturing,Total,"1,237","11,535,236","714,533",N,"15,729","2,108","71,228"
813,Montana,42,Wholesale trade,Wholesale Trade,"1,530","15,763,601","650,359","162,315","14,443","1,259","92,054"
814,Montana,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","1,288","12,645,824","577,062","143,957","13,034",N,N
815,Montana,42,Wholesale trade,Manufacturers' sales branches and offices,79,"2,219,529","50,728","12,842",724,N,N
816,Montana,44-45,Retail trade,Total,"4,831","15,623,573","1,346,502","319,945","55,418","8,353","297,370"
817,Montana,48-49 (104),Transportation and warehousing (104),Total,"1,475","1,972,046","449,841","103,107","11,861","2,997","261,295"
818,Montana,51,Information,Total,615,N,"427,406","106,313","9,160",979,"28,345"
819,Montana,52,Finance and insurance,Total,"1,944",N,"799,773","205,767","16,206","2,346","124,184"
820,Montana,53,Real estate and rental and leasing,Total,"1,726","835,415","162,342","35,317","5,207","10,993","808,722"
821,Montana,54,"Professional, scientific, and technical services",All establishments,"3,545","2,191,868","798,827","183,162","16,660","10,635","359,123"
822,Montana,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"3,501","2,160,823","783,989","179,552","16,363",N,N
823,Montana,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,44,"31,045","14,838","3,610",297,N,N
824,Montana,55,Management of companies and enterprises,Total,138,"115,030","193,066","50,130","3,191",N,N
825,Montana,56,Administrative and support and waste management and remediation services,Total,"1,675","1,183,883","541,554","116,820","20,448","5,086","97,430"
826,Montana,61,Educational services,All establishments,269,"85,537","26,421","6,667","1,642","1,588","19,260"
827,Montana,61,Educational services,Establishments subject to federal income tax,179,"62,093","16,576","4,140","1,100",N,N
828,Montana,61,Educational services,Establishments exempt from federal income tax,90,"23,444","9,845","2,527",542,N,N
829,Montana,62,Health care and social assistance,All establishments,"3,512","6,469,475","2,555,403","610,166","65,657","5,336","152,393"
830,Montana,62,Health care and social assistance,Establishments subject to federal income tax,"2,545","2,508,030","1,040,879","238,525","24,420",N,N
831,Montana,62,Health care and social assistance,Establishments exempt from federal income tax,967,"3,961,445","1,514,524","371,641","41,237",N,N
832,Montana,71,"Arts, entertainment, and recreation",All establishments,"1,126","785,042","170,018","41,472","10,903","4,786","91,271"
833,Montana,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,899,"676,599","130,261","33,182","8,346",N,N
834,Montana,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,227,"108,443","39,757","8,290","2,557",N,N
835,Montana,72,Accommodation and food services,Total,"3,458","2,420,455","649,523","145,585","46,251","1,421","68,270"
836,Montana,81,Other services (except public administration),All establishments,"2,278","1,221,967","302,783","72,501","10,917","11,416","285,941"
837,Montana,81,Other services (except public administration),Establishments subject to federal income tax,"1,583","731,951","192,590","45,812","7,375",N,N
838,Montana,81,Other services (except public administration),Establishments exempt from federal income tax,695,"490,016","110,193","26,689","3,542",N,N
839,Nebraska,21,"Mining, quarrying, and oil and gas extraction",Total,100,"362,272","52,754",N,"1,015",163,"14,966"
840,Nebraska,22,Utilities,Total,115,Q,"77,087","21,982",930,71,"2,510"
841,Nebraska,23,Construction,Total,"5,676","8,759,256","1,682,757","360,923","40,543","14,937","779,521"
842,Nebraska,31-33,Manufacturing,Total,"1,844","57,499,177","4,002,759",N,"92,409","1,620","53,508"
843,Nebraska,42,Wholesale trade,Wholesale Trade,"3,160","58,624,098","2,111,321","524,256","40,832","1,804","113,792"
844,Nebraska,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","2,720","42,618,995","1,675,409","417,188","34,409",N,N
845,Nebraska,42,Wholesale trade,Manufacturers' sales branches and offices,196,"12,856,984","380,629","92,951","4,636",N,N
846,Nebraska,44-45,Retail trade,Total,"7,279","30,470,717","2,440,403","593,853","105,953","13,511","462,138"
847,Nebraska,48-49 (104),Transportation and warehousing (104),Total,"2,283","5,979,779","1,071,756","260,203","26,879","6,121","546,404"
848,Nebraska,51,Information,Total,954,N,"1,180,049","327,776","20,647","1,327","28,148"
849,Nebraska,52,Finance and insurance,Total,"4,201",N,"3,810,914","1,059,093","62,434","5,461","289,442"
850,Nebraska,53,Real estate and rental and leasing,Total,"2,001","1,732,040","388,544","92,416","10,068","13,631","1,252,282"
851,Nebraska,54,"Professional, scientific, and technical services",All establishments,"4,448","5,726,667","3,639,308","816,720","74,514","12,751","371,288"
852,Nebraska,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"4,426","5,705,178","3,628,539","813,978","74,339",N,N
853,Nebraska,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,22,"21,489","10,769","2,742",175,N,N
854,Nebraska,55,Management of companies and enterprises,Total,376,"465,414","1,440,146","410,577","17,711",N,N
855,Nebraska,56,Administrative and support and waste management and remediation services,Total,"2,569","3,312,262","1,648,855","386,895","57,034","9,217","162,063"
856,Nebraska,61,Educational services,All establishments,312,"118,592","39,342","9,450","2,226","2,819","29,747"
857,Nebraska,61,Educational services,Establishments subject to federal income tax,260,"99,235","32,333","7,755","1,820",N,N
858,Nebraska,61,Educational services,Establishments exempt from federal income tax,52,"19,357","7,009","1,695",406,N,N
859,Nebraska,62,Health care and social assistance,All establishments,"5,410","12,869,418","4,907,284","1,189,970","125,469","13,046","285,105"
860,Nebraska,62,Health care and social assistance,Establishments subject to federal income tax,"4,282","5,706,748","2,397,682","561,817","57,239",N,N
861,Nebraska,62,Health care and social assistance,Establishments exempt from federal income tax,"1,128","7,162,670","2,509,602","628,153","68,230",N,N
862,Nebraska,71,"Arts, entertainment, and recreation",All establishments,842,"779,717","205,636","45,410","13,090","5,958","87,060"
863,Nebraska,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,557,"471,195","110,591","24,261","7,147",N,N
864,Nebraska,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,285,"308,522","95,045","21,149","5,943",N,N
865,Nebraska,72,Accommodation and food services,Total,"4,326","3,094,498","855,354","205,203","70,128","1,734","75,609"
866,Nebraska,81,Other services (except public administration),All establishments,"3,989","2,841,338","612,460","148,083","21,832","19,830","468,077"
867,Nebraska,81,Other services (except public administration),Establishments subject to federal income tax,"3,155","1,516,309","447,638","107,265","16,918",N,N
868,Nebraska,81,Other services (except public administration),Establishments exempt from federal income tax,834,"1,325,029","164,822","40,818","4,914",N,N
869,Nevada,21,"Mining, quarrying, and oil and gas extraction",Total,215,"10,749,461","1,214,956",N,"15,497",426,"34,088"
870,Nevada,22,Utilities,Total,123,Q,"466,381","161,102","4,991",119,"5,490"
871,Nevada,23,Construction,Total,"4,342","12,316,574","2,472,816","524,985","54,569","10,335","515,765"
872,Nevada,31-33,Manufacturing,Total,"1,706","14,719,141","1,979,315",N,"38,123","2,301","133,650"
873,Nevada,42,Wholesale trade,Wholesale Trade,"2,970","28,435,826","1,890,045","472,245","33,250","3,546","344,141"
874,Nevada,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","2,501","19,841,701","1,516,155","378,498","27,649",N,N
875,Nevada,42,Wholesale trade,Manufacturers' sales branches and offices,165,"5,114,300","313,575","79,174","4,134",N,N
876,Nevada,44-45,Retail trade,Total,"8,135","38,234,170","3,454,095","845,584","129,977","15,919","729,030"
877,Nevada,48-49 (104),Transportation and warehousing (104),Total,"1,409","5,570,372","1,631,242","397,268","43,720","6,301","399,179"
878,Nevada,51,Information,Total,"1,234",N,"931,203","238,434","17,216","3,208","195,057"
879,Nevada,52,Finance and insurance,Total,"4,053",N,"1,982,471","523,106","34,396","7,868","671,019"
880,Nevada,53,Real estate and rental and leasing,Total,"3,866","4,981,151","814,675","198,007","22,412","27,523","2,428,900"
881,Nevada,54,"Professional, scientific, and technical services",All establishments,"8,102","7,758,536","2,832,144","672,099","47,934","27,940","1,600,525"
882,Nevada,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"8,076","7,722,249","2,813,792","667,583","47,386",N,N
883,Nevada,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,26,"36,287","18,352","4,516",548,N,N
884,Nevada,55,Management of companies and enterprises,Total,543,D,D,D,j,N,N
885,Nevada,56,Administrative and support and waste management and remediation services,Total,"3,998","6,775,196","2,840,603","694,429","93,727","15,343","427,526"
886,Nevada,61,Educational services,All establishments,537,"452,062","141,312","35,874","5,506","3,244","57,687"
887,Nevada,61,Educational services,Establishments subject to federal income tax,471,"360,886","120,873","30,520","4,652",N,N
888,Nevada,61,Educational services,Establishments exempt from federal income tax,66,"91,176","20,439","5,354",854,N,N
889,Nevada,62,Health care and social assistance,All establishments,"6,308","13,928,514","5,094,728","1,237,669","108,585","13,495","516,322"
890,Nevada,62,Health care and social assistance,Establishments subject to federal income tax,"5,766","9,936,720","3,598,200","861,731","77,665",N,N
891,Nevada,62,Health care and social assistance,Establishments exempt from federal income tax,542,"3,991,794","1,496,528","375,938","30,920",N,N
892,Nevada,71,"Arts, entertainment, and recreation",All establishments,"1,290","3,644,954","771,986","186,822","26,705","14,444","616,292"
893,Nevada,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,"1,179","3,507,479","732,767","177,946","25,232",N,N
894,Nevada,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,111,"137,475","39,219","8,876","1,473",N,N
895,Nevada,72,Accommodation and food services,Total,"5,815","27,481,505","8,555,606","2,160,755","296,762","2,294","111,889"
896,Nevada,81,Other services (except public administration),All establishments,"3,538","2,608,906","706,490","171,104","25,386","29,236","825,669"
897,Nevada,81,Other services (except public administration),Establishments subject to federal income tax,"2,935","1,790,452","543,239","131,743","20,584",N,N
898,Nevada,81,Other services (except public administration),Establishments exempt from federal income tax,603,"818,454","163,251","39,361","4,802",N,N
899,New Hampshire,21,"Mining, quarrying, and oil and gas extraction",Total,38,"74,203","17,049",N,315,62,"6,385"
900,New Hampshire,22,Utilities,Total,120,Q,"294,495","81,459","3,329",91,"5,900"
901,New Hampshire,23,Construction,Total,"3,714","5,215,877","1,212,460","257,055","24,435","16,782","1,140,315"
902,New Hampshire,31-33,Manufacturing,Total,"1,851","18,895,624","3,923,815",N,"66,636","2,274","110,376"
903,New Hampshire,42,Wholesale trade,Wholesale Trade,"1,865","22,682,523","1,587,716","397,950","24,558","1,908","206,913"
904,New Hampshire,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","1,543","18,029,179","1,307,894","320,373","21,140",N,N
905,New Hampshire,42,Wholesale trade,Manufacturers' sales branches and offices,90,"2,455,034","231,216","66,635","2,453",N,N
906,New Hampshire,44-45,Retail trade,Total,"6,127","26,018,201","2,403,555","575,940","95,660","8,637","480,814"
907,New Hampshire,48-49 (104),Transportation and warehousing (104),Total,804,"1,244,466","441,785","106,780","13,787","2,223","150,787"
908,New Hampshire,51,Information,Total,802,N,"1,049,870","266,237","13,731","1,511","62,037"
909,New Hampshire,52,Finance and insurance,Total,"1,889",N,"1,760,415","486,537","24,252","2,492","223,013"
910,New Hampshire,53,Real estate and rental and leasing,Total,"1,338","1,593,106","309,670","65,895","7,044","11,702","1,033,261"
911,New Hampshire,54,"Professional, scientific, and technical services",All establishments,"3,825","3,947,790","1,697,456","391,273","30,159","16,929","796,189"
912,New Hampshire,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"3,794","3,910,703","1,678,848","386,745","29,853",N,N
913,New Hampshire,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,31,"37,087","18,608","4,528",306,N,N
914,New Hampshire,55,Management of companies and enterprises,Total,217,"151,856","600,486","156,694","7,082",N,N
915,New Hampshire,56,Administrative and support and waste management and remediation services,Total,"2,178","3,107,103","1,732,162","430,631","45,153","7,160","201,416"
916,New Hampshire,61,Educational services,All establishments,392,"344,914","110,160","28,519","3,988","3,127","55,155"
917,New Hampshire,61,Educational services,Establishments subject to federal income tax,307,"248,837","71,048","16,727","2,655",N,N
918,New Hampshire,61,Educational services,Establishments exempt from federal income tax,85,"96,077","39,112","11,792","1,333",N,N
919,New Hampshire,62,Health care and social assistance,All establishments,"3,578","9,616,460","4,086,392","980,487","87,099","6,366","195,544"
920,New Hampshire,62,Health care and social assistance,Establishments subject to federal income tax,"2,775","4,001,609","1,769,710","417,920","35,400",N,N
921,New Hampshire,62,Health care and social assistance,Establishments exempt from federal income tax,803,"5,614,851","2,316,682","562,567","51,699",N,N
922,New Hampshire,71,"Arts, entertainment, and recreation",All establishments,724,"792,738","234,859","49,236","12,946","5,936","149,215"
923,New Hampshire,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,536,"681,882","191,993","40,296","10,803",N,N
924,New Hampshire,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,188,"110,856","42,866","8,940","2,143",N,N
925,New Hampshire,72,Accommodation and food services,Total,"3,606","2,942,278","890,945","206,791","54,047","1,179","77,688"
926,New Hampshire,81,Other services (except public administration),All establishments,"2,879","1,554,872","473,299","114,902","16,603","12,140","391,659"
927,New Hampshire,81,Other services (except public administration),Establishments subject to federal income tax,"2,267","1,111,001","350,405","84,779","12,435",N,N
928,New Hampshire,81,Other services (except public administration),Establishments exempt from federal income tax,612,"443,871","122,894","30,123","4,168",N,N
929,New Jersey,21,"Mining, quarrying, and oil and gas extraction",Total,72,"460,885","83,763",N,"1,395",75,"5,006"
930,New Jersey,22,Utilities,Total,406,Q,"2,131,755","614,216","20,304",657,"22,861"
931,New Jersey,23,Construction,Total,"18,821","39,863,463","8,077,423","1,828,400","147,059","53,368","3,648,592"
932,New Jersey,31-33,Manufacturing,Total,"7,758","108,854,971","14,094,832",N,"230,697","6,676","429,725"
933,New Jersey,42,Wholesale trade,Wholesale Trade,"14,661","406,844,905","21,239,804","5,451,642","263,316","14,255","1,738,083"
934,New Jersey,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","12,760","288,467,844","14,976,789","3,734,975","208,830",N,N
935,New Jersey,42,Wholesale trade,Manufacturers' sales branches and offices,540,"95,537,361","5,760,758","1,600,098","45,206",N,N
936,New Jersey,44-45,Retail trade,Total,"31,722","133,665,728","12,676,014","3,011,311","436,299","48,118","2,566,260"
937,New Jersey,48-49 (104),Transportation and warehousing (104),Total,"7,004","26,484,590","7,078,122","1,770,791","160,321","35,285","2,226,613"
938,New Jersey,51,Information,Total,"3,705",N,"9,814,885","2,893,023","119,179","10,423","463,240"
939,New Jersey,52,Finance and insurance,Total,"11,927",N,"20,350,288","6,490,369","198,724","22,846","2,088,177"
940,New Jersey,53,Real estate and rental and leasing,Total,"8,749","17,327,641","2,813,137","695,853","53,751","88,126","8,728,714"
941,New Jersey,54,"Professional, scientific, and technical services",All establishments,"29,390","58,738,195","24,012,966","5,940,815","307,549","109,543","5,833,076"
942,New Jersey,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"29,289","58,415,268","23,862,449","5,904,295","305,648",N,N
943,New Jersey,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,101,"322,927","150,517","36,520","1,901",N,N
944,New Jersey,55,Management of companies and enterprises,Total,"1,419","3,892,651","16,007,136","4,875,590","133,484",N,N
945,New Jersey,56,Administrative and support and waste management and remediation services,Total,"13,580","21,272,892","9,864,691","2,321,033","282,090","41,180","1,165,011"
946,New Jersey,61,Educational services,All establishments,"2,659","2,644,129","867,820","219,459","32,465","20,169","330,742"
947,New Jersey,61,Educational services,Establishments subject to federal income tax,"2,362",D,D,D,j,N,N
948,New Jersey,61,Educational services,Establishments exempt from federal income tax,297,D,D,D,j,N,N
949,New Jersey,62,Health care and social assistance,All establishments,"26,935","60,375,232","24,325,001","5,794,139","540,875","50,978","2,124,602"
950,New Jersey,62,Health care and social assistance,Establishments subject to federal income tax,"23,088","32,634,862","13,027,652","3,028,422","297,847",N,N
951,New Jersey,62,Health care and social assistance,Establishments exempt from federal income tax,"3,847","27,740,370","11,297,349","2,765,717","243,028",N,N
952,New Jersey,71,"Arts, entertainment, and recreation",All establishments,"3,421","4,632,315","1,605,733","359,569","56,427","33,862","947,032"
953,New Jersey,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,"2,821","3,690,381","1,238,078","284,704","39,560",N,N
954,New Jersey,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,600,"941,934","367,655","74,865","16,867",N,N
955,New Jersey,72,Accommodation and food services,Total,"20,127","19,673,558","5,386,826","1,270,144","291,933","9,976","476,875"
956,New Jersey,81,Other services (except public administration),All establishments,"18,327","11,607,846","3,150,125","770,456","108,216","72,638","2,156,886"
957,New Jersey,81,Other services (except public administration),Establishments subject to federal income tax,"15,754","7,479,897","2,333,135","563,017","89,543",N,N
958,New Jersey,81,Other services (except public administration),Establishments exempt from federal income tax,"2,573","4,127,949","816,990","207,439","18,673",N,N
959,New Mexico,21,"Mining, quarrying, and oil and gas extraction",Total,684,"16,029,867","1,401,041",N,"19,867","1,328","122,380"
960,New Mexico,22,Utilities,Total,234,Q,"376,693","105,193","4,880",112,"2,779"
961,New Mexico,23,Construction,Total,"4,083","6,995,291","1,519,989","356,922","37,787","10,994","496,358"
962,New Mexico,31-33,Manufacturing,Total,"1,389","29,102,352","1,349,245",N,"26,731","3,173","90,981"
963,New Mexico,42,Wholesale trade,Wholesale Trade,"1,937","17,404,680","1,211,422","266,058","21,929","3,489","162,875"
964,New Mexico,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","1,646","10,720,363","814,630","199,701","17,448",N,N
965,New Mexico,42,Wholesale trade,Manufacturers' sales branches and offices,157,"5,487,685","370,157","60,442","3,586",N,N
966,New Mexico,44-45,Retail trade,Total,"6,590","25,179,274","2,214,505","540,319","90,792","11,286","436,140"
967,New Mexico,48-49 (104),Transportation and warehousing (104),Total,"1,384","2,678,171","703,942","169,238","17,510","4,035","324,780"
968,New Mexico,51,Information,Total,764,N,"536,381","139,313","12,516","1,570","40,274"
969,New Mexico,52,Finance and insurance,Total,"2,674",N,"1,227,701","294,194","22,709","3,267","195,135"
970,New Mexico,53,Real estate and rental and leasing,Total,"2,369","1,960,351","368,713","86,961","9,754","11,576","966,462"
971,New Mexico,54,"Professional, scientific, and technical services",All establishments,"4,687","7,618,771","2,771,760","656,261","44,175","16,576","614,995"
972,New Mexico,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"4,634","7,376,415","2,677,826","632,446","42,423",N,N
973,New Mexico,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,53,"242,356","93,934","23,815","1,752",N,N
974,New Mexico,55,Management of companies and enterprises,Total,258,"123,844","400,944","105,133","6,110",N,N
975,New Mexico,56,Administrative and support and waste management and remediation services,Total,"1,835","2,283,170","987,516","243,119","34,485","9,054","163,068"
976,New Mexico,61,Educational services,All establishments,427,"184,596","66,251","15,994","3,028","4,078","51,000"
977,New Mexico,61,Educational services,Establishments subject to federal income tax,299,"121,533","43,689","10,303","2,164",N,N
978,New Mexico,61,Educational services,Establishments exempt from federal income tax,128,"63,063","22,562","5,691",864,N,N
979,New Mexico,62,Health care and social assistance,All establishments,"4,967","11,236,630","4,588,047","1,126,747","116,557","12,097","309,212"
980,New Mexico,62,Health care and social assistance,Establishments subject to federal income tax,"3,970","6,071,041","2,449,660","589,031","67,477",N,N
981,New Mexico,62,Health care and social assistance,Establishments exempt from federal income tax,997,"5,165,589","2,138,387","537,716","49,080",N,N
982,New Mexico,71,"Arts, entertainment, and recreation",All establishments,652,"1,352,784","267,701","65,887","12,259","8,353","161,655"
983,New Mexico,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,488,"1,207,233","219,748","55,466","10,536",N,N
984,New Mexico,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,164,"145,551","47,953","10,421","1,723",N,N
985,New Mexico,72,Accommodation and food services,Total,"4,177","4,349,672","1,250,409","303,041","82,601","1,931","76,126"
986,New Mexico,81,Other services (except public administration),All establishments,"2,962","1,798,612","501,412","121,778","17,464","16,403","397,133"
987,New Mexico,81,Other services (except public administration),Establishments subject to federal income tax,"2,182","1,115,919","349,665","85,313","12,810",N,N
988,New Mexico,81,Other services (except public administration),Establishments exempt from federal income tax,780,"682,693","151,747","36,465","4,654",N,N
989,New York,21,"Mining, quarrying, and oil and gas extraction",Total,275,"2,150,277","319,122",N,"5,091",903,"54,567"
990,New York,22,Utilities,Total,616,Q,"3,882,982","987,163","42,612","1,238","45,253"
991,New York,23,Construction,Total,"41,025","87,102,169","18,192,119","4,092,152","333,892","130,111","5,325,053"
992,New York,31-33,Manufacturing,Total,"16,475","148,879,931","22,073,336",N,"426,621","18,373","875,695"
993,New York,42,Wholesale trade,Wholesale Trade,"32,704","434,353,687","23,106,420","5,782,849","368,966","33,167","3,413,094"
994,New York,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","28,853","341,734,970","19,833,276","4,908,266","325,663",N,N
995,New York,42,Wholesale trade,Manufacturers' sales branches and offices,847,"48,982,267","2,539,712","709,618","29,888",N,N
996,New York,44-45,Retail trade,Total,"77,463","251,167,736","23,641,241","5,736,806","905,325","117,816","5,209,577"
997,New York,48-49 (104),Transportation and warehousing (104),Total,"12,312","43,409,178","9,676,996","2,421,014","240,587","99,376","4,805,134"
998,New York,51,Information,Total,"11,335",N,"25,031,824","6,915,547","286,744","29,566","1,211,266"
999,New York,52,Finance and insurance,Total,"27,518",N,"98,775,977","38,632,557","539,761","50,316","4,659,036"
1000,New York,53,Real estate and rental and leasing,Total,"32,033","56,409,756","8,654,394","2,110,071","166,315","175,963","20,830,776"
1001,New York,54,"Professional, scientific, and technical services",All establishments,"59,302","133,638,802","49,200,255","11,988,286","588,820","244,159","11,877,760"
1002,New York,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"58,867","127,952,243","47,330,702","11,531,162","557,669",N,N
1003,New York,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,435,"5,686,559","1,869,553","457,124","31,151",N,N
1004,New York,55,Management of companies and enterprises,Total,"2,954","20,971,148","22,233,998","7,008,921","189,679",N,N
1005,New York,56,Administrative and support and waste management and remediation services,Total,"25,642","48,434,621","23,856,467","5,834,075","544,193","106,709","2,286,399"
1006,New York,61,Educational services,All establishments,"5,485","5,660,233","1,840,883","457,884","64,810","49,443","719,524"
1007,New York,61,Educational services,Establishments subject to federal income tax,"4,436","3,421,619","1,164,613","291,211","44,463",N,N
1008,New York,61,Educational services,Establishments exempt from federal income tax,"1,049","2,238,614","676,270","166,673","20,347",N,N
1009,New York,62,Health care and social assistance,All establishments,"56,734","155,666,053","65,180,007","15,905,464","1,468,987","172,750","5,712,438"
1010,New York,62,Health care and social assistance,Establishments subject to federal income tax,"43,548","55,599,543","22,400,916","5,205,131","540,067",N,N
1011,New York,62,Health care and social assistance,Establishments exempt from federal income tax,"13,186","100,066,510","42,779,091","10,700,333","928,920",N,N
1012,New York,71,"Arts, entertainment, and recreation",All establishments,"11,615","21,929,061","6,899,657","1,556,504","162,729","122,319","3,986,694"
1013,New York,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,"9,600","16,431,686","4,940,446","1,107,802","103,072",N,N
1014,New York,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,"2,015","5,497,375","1,959,211","448,702","59,657",N,N
1015,New York,72,Accommodation and food services,Total,"49,731","49,285,508","13,734,260","3,239,949","679,146","28,528","919,121"
1016,New York,81,Other services (except public administration),All establishments,"45,646","39,709,205","9,395,063","2,300,131","271,689","224,754","5,158,972"
1017,New York,81,Other services (except public administration),Establishments subject to federal income tax,"34,948","14,493,237","4,209,394","1,018,559","168,002",N,N
1018,New York,81,Other services (except public administration),Establishments exempt from federal income tax,"10,698","25,215,968","5,185,669","1,281,572","103,687",N,N
1019,North Carolina,21,"Mining, quarrying, and oil and gas extraction",Total,200,"758,493","124,125",N,"2,478",201,"8,961"
1020,North Carolina,22,Utilities,Total,478,Q,"1,849,812","557,860","20,114",546,"21,974"
1021,North Carolina,23,Construction,Total,"18,302","35,989,104","6,693,640","1,549,434","180,605","81,845","4,251,393"
1022,North Carolina,31-33,Manufacturing,Total,"8,953","202,344,646","18,191,214",N,"403,593","10,352","383,994"
1023,North Carolina,42,Wholesale trade,Wholesale Trade,"11,830","175,657,364","10,376,445","2,630,800","172,760","11,231","841,376"
1024,North Carolina,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","9,713","105,275,586","7,853,704","1,904,252","136,174",N,N
1025,North Carolina,42,Wholesale trade,Manufacturers' sales branches and offices,607,"51,028,413","2,116,756","625,423","27,013",N,N
1026,North Carolina,44-45,Retail trade,Total,"34,288","120,691,007","10,421,235","2,532,530","446,373","57,309","2,386,532"
1027,North Carolina,48-49 (104),Transportation and warehousing (104),Total,"5,393","14,744,408","4,277,276","1,025,681","108,760","25,888","1,619,689"
1028,North Carolina,51,Information,Total,"3,570",N,"5,181,277","1,349,176","79,833","8,474","237,243"
1029,North Carolina,52,Finance and insurance,Total,"13,088",N,"13,115,078","4,366,760","168,278","19,872","1,171,779"
1030,North Carolina,53,Real estate and rental and leasing,Total,"10,140","9,301,658","1,942,563","461,685","47,155","69,662","5,821,445"
1031,North Carolina,54,"Professional, scientific, and technical services",All establishments,"22,855","31,947,910","12,940,289","3,139,904","196,287","82,457","2,973,055"
1032,North Carolina,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"22,730","30,520,800","12,461,472","3,019,876","190,441",N,N
1033,North Carolina,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,125,"1,427,110","478,817","120,028","5,846",N,N
1034,North Carolina,55,Management of companies and enterprises,Total,"1,757","2,080,160","8,053,771","2,315,609","86,993",N,N
1035,North Carolina,56,Administrative and support and waste management and remediation services,Total,"11,712","16,304,039","7,774,301","1,813,913","255,584","70,361","1,313,407"
1036,North Carolina,61,Educational services,All establishments,"1,891","1,521,341","428,145","104,837","16,069","18,218","230,506"
1037,North Carolina,61,Educational services,Establishments subject to federal income tax,"1,645","1,298,473","344,986","84,515","13,842",N,N
1038,North Carolina,61,Educational services,Establishments exempt from federal income tax,246,"222,868","83,159","20,322","2,227",N,N
1039,North Carolina,62,Health care and social assistance,All establishments,"22,977","55,227,505","21,757,021","5,236,519","529,570","47,770","1,201,913"
