,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
446,200 DM or more,6,all credits at this bank paid back duly,furniture/equipment,700,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,real estate,36,none,own,2-3,skilled employee/official,0 to 2,no,no,1
447,200 DM or more,12,no credits taken/all credits paid back duly,furniture/equipment,886,1000 DM or more,1 to 4 yrs,less than 20,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,21,none,rent,1,skilled employee/official,0 to 2,no,no,1
448,200 DM or more,36,no credits taken/all credits paid back duly,car (new),4686,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,real estate,32,none,own,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
449,less than 0 DM,9,no credits taken/all credits paid back duly,furniture/equipment,790,100 to 500 DM,1 to 4 yrs,less than 20,female : non-single or male : single,none,4 to 7 yrs,unknown/no property,66,none,rent,1,unskilled-resident,0 to 2,no,no,1
450,less than 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,766,100 to 500 DM,1 to 4 yrs,less than 20,male : married/widowed,none,4 to 7 yrs,unknown/no property,66,none,rent,1,unskilled-resident,0 to 2,no,no,0
451,no checking account,20,no credits taken/all credits paid back duly,car (used),2212,1000 DM or more,4 to 7 yrs,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,39,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
452,less than 0 DM,10,no credits taken/all credits paid back duly,others,7308,unknown/no savings account,unemployed,25 to 35,male : married/widowed,none,7 yrs or more,real estate,70,bank,own,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
453,less than 0 DM,24,all credits at this bank paid back duly,repairs,5743,unknown/no savings account,less than 1 year,25 to 35,female : non-single or male : single,none,7 yrs or more,real estate,24,none,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
454,no checking account,14,no credits taken/all credits paid back duly,others,3973,unknown/no savings account,unemployed,35 or more,male : married/widowed,none,7 yrs or more,real estate,22,none,own,1,skilled employee/official,0 to 2,no,no,1
455,less than 0 DM,60,existing credits paid back duly till now,furniture/equipment,7418,1000 DM or more,1 to 4 yrs,35 or more,male : married/widowed,none,less than 1 year,unknown/no property,27,none,rent,1,unskilled-resident,0 to 2,no,no,1
456,less than 0 DM,20,existing credits paid back duly till now,business,2629,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,29,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
457,less than 0 DM,18,no credits taken/all credits paid back duly,retraining,1941,500 to 1000 DM,1 to 4 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,car or other,35,none,rent,1,unskilled-resident,0 to 2,yes (under customer name),no,1
458,less than 0 DM,24,existing credits paid back duly till now,car (used),2333,1000 DM or more,less than 1 year,less than 20,male : married/widowed,none,1 to 4 yrs,car or other,29,bank,rent,1,unskilled-resident,0 to 2,no,no,1
459,200 DM or more,12,no credits taken/all credits paid back duly,car (new),2445,1000 DM or more,less than 1 year,25 to 35,female : single,none,7 yrs or more,building soc. savings agr./life insurance,26,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,1
460,less than 0 DM,20,no credits taken/all credits paid back duly,car (new),6468,1000 DM or more,unemployed,35 or more,male : divorced/separated,none,7 yrs or more,unknown/no property,60,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
461,less than 0 DM,18,all credits at this bank paid back duly,car (used),7374,unknown/no savings account,unemployed,less than 20,male : married/widowed,none,7 yrs or more,car or other,40,stores,rent,2-3,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
462,200 DM or more,15,no credits taken/all credits paid back duly,car (new),3812,less than 100 DM,less than 1 year,35 or more,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
463,no checking account,28,no credits taken/all credits paid back duly,others,4006,unknown/no savings account,1 to 4 yrs,20 to 25,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,45,none,rent,1,unskilled-resident,0 to 2,no,no,0
464,less than 0 DM,12,no credits taken/all credits paid back duly,others,7472,1000 DM or more,unemployed,35 or more,female : non-single or male : single,none,1 to 4 yrs,unknown/no property,24,none,for free,1,unemployed/unskilled - non-resident,0 to 2,no,no,1
465,0 to 200 DM,12,no credits taken/all credits paid back duly,car (used),1424,1000 DM or more,7 yrs or more,20 to 25,female : non-single or male : single,none,7 yrs or more,unknown/no property,55,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
466,less than 0 DM,12,no credits taken/all credits paid back duly,car (new),2028,1000 DM or more,1 to 4 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,30,none,rent,1,skilled employee/official,0 to 2,no,no,1
467,200 DM or more,15,no credits taken/all credits paid back duly,others,5324,100 to 500 DM,7 yrs or more,35 or more,female : non-single or male : single,none,7 yrs or more,real estate,35,none,own,1,skilled employee/official,0 to 2,no,no,1
468,less than 0 DM,36,no credits taken/all credits paid back duly,furniture/equipment,2323,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,24,none,for free,1,skilled employee/official,0 to 2,no,no,1
469,200 DM or more,12,no credits taken/all credits paid back duly,repairs,1393,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,car or other,47,bank,rent,4-5,skilled employee/official,3 or more,yes (under customer name),no,1
470,200 DM or more,18,no credits taken/all credits paid back duly,car (used),1984,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,none,7 yrs or more,real estate,47,bank,own,2-3,skilled employee/official,0 to 2,no,no,1
471,200 DM or more,24,no credits taken/all credits paid back duly,furniture/equipment,999,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,25,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
472,200 DM or more,36,no credits taken/all credits paid back duly,retraining,7409,1000 DM or more,7 yrs or more,20 to 25,male : married/widowed,none,1 to 4 yrs,car or other,37,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
473,200 DM or more,15,no credits taken/all credits paid back duly,car (used),2186,1000 DM or more,4 to 7 yrs,35 or more,female : non-single or male : single,none,7 yrs or more,unknown/no property,33,bank,for free,1,unskilled-resident,0 to 2,no,no,1
474,0 to 200 DM,36,no credits taken/all credits paid back duly,furniture/equipment,4473,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,no,no,1
475,200 DM or more,24,no credits taken/all credits paid back duly,vacation,937,unknown/no savings account,less than 1 year,less than 20,female : single,none,4 to 7 yrs,building soc. savings agr./life insurance,27,none,rent,2-3,unskilled-resident,0 to 2,no,no,1
476,200 DM or more,18,no credits taken/all credits paid back duly,car (used),3422,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,car or other,47,bank,rent,4-5,skilled employee/official,3 or more,yes (under customer name),no,1
477,200 DM or more,24,no credits taken/all credits paid back duly,furniture/equipment,3105,1000 DM or more,less than 1 year,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,25,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
478,200 DM or more,12,all credits at this bank paid back duly,repairs,2748,unknown/no savings account,7 yrs or more,25 to 35,female : non-single or male : single,none,7 yrs or more,real estate,57,bank,own,4-5,unskilled-resident,0 to 2,no,no,1
479,less than 0 DM,18,no credits taken/all credits paid back duly,domestic appliances,3872,unknown/no savings account,unemployed,25 to 35,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,67,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
480,200 DM or more,27,no credits taken/all credits paid back duly,domestic appliances,5190,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,car or other,48,none,rent,6 or more,skilled employee/official,3 or more,yes (under customer name),no,1
481,less than 0 DM,18,no credits taken/all credits paid back duly,car (used),3001,unknown/no savings account,4 to 7 yrs,25 to 35,female : non-single or male : single,none,7 yrs or more,unknown/no property,40,none,for free,1,skilled employee/official,0 to 2,no,no,1
482,200 DM or more,24,existing credits paid back duly till now,retraining,3863,unknown/no savings account,1 to 4 yrs,35 or more,male : married/widowed,none,1 to 4 yrs,real estate,32,none,own,1,skilled employee/official,0 to 2,no,no,1
483,200 DM or more,12,all credits at this bank paid back duly,car (used),5801,1000 DM or more,7 yrs or more,25 to 35,male : married/widowed,none,7 yrs or more,car or other,49,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),yes,1
484,200 DM or more,12,all credits at this bank paid back duly,car (used),1592,500 to 1000 DM,4 to 7 yrs,20 to 25,female : non-single or male : single,none,1 to 4 yrs,car or other,35,none,rent,1,skilled employee/official,0 to 2,no,no,1
485,200 DM or more,12,all credits at this bank paid back duly,retraining,1185,unknown/no savings account,1 to 4 yrs,20 to 25,female : non-single or male : single,none,1 to 4 yrs,unknown/no property,27,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
486,200 DM or more,18,all credits at this bank paid back duly,car (used),3780,unknown/no savings account,less than 1 year,20 to 25,male : divorced/separated,none,1 to 4 yrs,building soc. savings agr./life insurance,35,none,rent,2-3,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
487,less than 0 DM,18,all credits at this bank paid back duly,car (used),3612,unknown/no savings account,7 yrs or more,20 to 25,female : non-single or male : single,none,7 yrs or more,car or other,37,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),yes,1
488,200 DM or more,12,no credits taken/all credits paid back duly,retraining,1076,unknown/no savings account,1 to 4 yrs,25 to 35,female : single,none,1 to 4 yrs,unknown/no property,26,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
489,200 DM or more,12,no credits taken/all credits paid back duly,others,3527,1000 DM or more,less than 1 year,25 to 35,male : married/widowed,none,4 to 7 yrs,car or other,45,none,rent,1,manager/self-employed/highly qualified employee,3 or more,yes (under customer name),no,1
490,200 DM or more,18,no credits taken/all credits paid back duly,furniture/equipment,2051,unknown/no savings account,less than 1 year,less than 20,male : married/widowed,none,less than 1 year,unknown/no property,33,none,rent,1,skilled employee/official,0 to 2,no,no,1
491,200 DM or more,12,all credits at this bank paid back duly,car (used),3331,unknown/no savings account,7 yrs or more,25 to 35,male : married/widowed,none,7 yrs or more,car or other,42,stores,rent,1,skilled employee/official,0 to 2,no,no,1
492,no checking account,18,delay in paying off in the past,retraining,3104,unknown/no savings account,4 to 7 yrs,20 to 25,male : married/widowed,none,less than 1 year,car or other,31,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
493,200 DM or more,24,all credits at this bank paid back duly,furniture/equipment,2611,unknown/no savings account,7 yrs or more,less than 20,female : single,co-applicant,4 to 7 yrs,unknown/no property,46,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
494,no checking account,12,all credits at this bank paid back duly,car (new),1409,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,4 to 7 yrs,unknown/no property,54,none,rent,1,skilled employee/official,0 to 2,no,no,1
495,200 DM or more,24,no credits taken/all credits paid back duly,furniture/equipment,1311,less than 100 DM,4 to 7 yrs,less than 20,female : single,none,4 to 7 yrs,car or other,26,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
496,200 DM or more,6,no credits taken/all credits paid back duly,furniture/equipment,2108,unknown/no savings account,4 to 7 yrs,25 to 35,female : single,none,1 to 4 yrs,unknown/no property,29,none,for free,1,skilled employee/official,0 to 2,no,no,1
497,200 DM or more,24,all credits at this bank paid back duly,car (new),4042,1000 DM or more,4 to 7 yrs,20 to 25,male : married/widowed,none,7 yrs or more,car or other,43,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
498,200 DM or more,12,all credits at this bank paid back duly,others,926,unknown/no savings account,unemployed,35 or more,female : non-single or male : single,none,1 to 4 yrs,car or other,38,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,1
499,no checking account,12,no credits taken/all credits paid back duly,furniture/equipment,1680,100 to 500 DM,7 yrs or more,20 to 25,female : single,none,less than 1 year,unknown/no property,35,none,rent,1,skilled employee/official,0 to 2,no,no,1
500,200 DM or more,24,no credits taken/all credits paid back duly,others,1249,unknown/no savings account,less than 1 year,less than 20,female : single,none,1 to 4 yrs,unknown/no property,28,none,rent,1,skilled employee/official,0 to 2,no,no,1
501,200 DM or more,24,all credits at this bank paid back duly,others,2463,less than 100 DM,4 to 7 yrs,less than 20,female : single,none,4 to 7 yrs,car or other,27,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
502,200 DM or more,6,no credits taken/all credits paid back duly,furniture/equipment,1595,unknown/no savings account,4 to 7 yrs,20 to 25,male : married/widowed,none,1 to 4 yrs,car or other,51,none,rent,1,skilled employee/official,3 or more,no,no,1
503,200 DM or more,24,all credits at this bank paid back duly,domestic appliances,2058,unknown/no savings account,1 to 4 yrs,less than 20,male : divorced/separated,none,1 to 4 yrs,unknown/no property,33,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
504,200 DM or more,24,no credits taken/all credits paid back duly,car (new),7814,unknown/no savings account,4 to 7 yrs,20 to 25,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,38,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
505,200 DM or more,6,all credits at this bank paid back duly,furniture/equipment,1740,unknown/no savings account,7 yrs or more,25 to 35,female : single,none,1 to 4 yrs,unknown/no property,30,none,for free,2-3,skilled employee/official,0 to 2,no,no,1
506,200 DM or more,12,all credits at this bank paid back duly,furniture/equipment,1240,1000 DM or more,7 yrs or more,less than 20,female : non-single or male : single,none,1 to 4 yrs,unknown/no property,38,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
507,200 DM or more,24,all credits at this bank paid back duly,car (new),6842,1000 DM or more,1 to 4 yrs,25 to 35,male : married/widowed,none,7 yrs or more,car or other,46,none,rent,2-3,manager/self-employed/highly qualified employee,3 or more,yes (under customer name),no,1
508,200 DM or more,24,all credits at this bank paid back duly,car (used),5150,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,33,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
509,no checking account,6,no credits taken/all credits paid back duly,others,1203,less than 100 DM,7 yrs or more,20 to 25,male : married/widowed,none,1 to 4 yrs,car or other,43,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
510,200 DM or more,6,all credits at this bank paid back duly,others,2080,100 to 500 DM,1 to 4 yrs,35 or more,female : single,none,1 to 4 yrs,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,no,1
511,200 DM or more,6,no credits taken/all credits paid back duly,repairs,1538,unknown/no savings account,less than 1 year,35 or more,female : non-single or male : single,none,1 to 4 yrs,real estate,56,none,rent,1,skilled employee/official,0 to 2,no,no,1
512,less than 0 DM,24,all credits at this bank paid back duly,others,3878,less than 100 DM,less than 1 year,less than 20,male : divorced/separated,none,1 to 4 yrs,building soc. savings agr./life insurance,37,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
513,less than 0 DM,30,no credits taken/all credits paid back duly,car (used),3832,unknown/no savings account,less than 1 year,25 to 35,female : single,none,less than 1 year,car or other,22,none,rent,1,skilled employee/official,0 to 2,no,no,1
514,200 DM or more,15,no credits taken/all credits paid back duly,others,3186,500 to 1000 DM,4 to 7 yrs,25 to 35,female : non-single or male : single,none,4 to 7 yrs,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,1
515,less than 0 DM,24,no credits taken/all credits paid back duly,furniture/equipment,2896,less than 100 DM,less than 1 year,25 to 35,male : married/widowed,none,less than 1 year,building soc. savings agr./life insurance,29,none,rent,1,skilled employee/official,0 to 2,no,no,1
516,less than 0 DM,24,existing credits paid back duly till now,retraining,6967,less than 100 DM,4 to 7 yrs,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,36,none,for free,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
517,200 DM or more,36,no credits taken/all credits paid back duly,repairs,1819,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,none,7 yrs or more,real estate,37,stores,own,1,skilled employee/official,0 to 2,yes (under customer name),no,0
518,200 DM or more,24,no credits taken/all credits paid back duly,furniture/equipment,5943,1000 DM or more,less than 1 year,35 or more,female : non-single or male : single,none,less than 1 year,building soc. savings agr./life insurance,44,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,0
519,200 DM or more,36,all credits at this bank paid back duly,car (used),7127,unknown/no savings account,less than 1 year,25 to 35,female : non-single or male : single,none,7 yrs or more,car or other,23,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,0
520,200 DM or more,36,no credits taken/all credits paid back duly,car (used),3349,unknown/no savings account,1 to 4 yrs,less than 20,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,28,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,0
521,200 DM or more,36,no credits taken/all credits paid back duly,car (used),10974,unknown/no savings account,unemployed,less than 20,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,26,none,rent,2-3,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,0
522,200 DM or more,6,no credits taken/all credits paid back duly,furniture/equipment,518,unknown/no savings account,1 to 4 yrs,20 to 25,female : non-single or male : single,none,less than 1 year,unknown/no property,29,none,rent,1,skilled employee/official,0 to 2,no,no,1
523,200 DM or more,18,no credits taken/all credits paid back duly,furniture/equipment,1126,1000 DM or more,less than 1 year,less than 20,female : non-single or male : single,none,1 to 4 yrs,unknown/no property,21,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,1
524,less than 0 DM,12,all credits at this bank paid back duly,car (new),1860,unknown/no savings account,unemployed,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,34,none,rent,2-3,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
525,200 DM or more,36,all credits at this bank paid back duly,furniture/equipment,9566,unknown/no savings account,1 to 4 yrs,25 to 35,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,31,stores,rent,2-3,skilled employee/official,0 to 2,no,no,1
526,no checking account,12,no credits taken/all credits paid back duly,furniture/equipment,701,unknown/no savings account,1 to 4 yrs,less than 20,female : single,none,1 to 4 yrs,unknown/no property,40,none,rent,1,unskilled-resident,0 to 2,no,no,1
527,less than 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,2930,unknown/no savings account,4 to 7 yrs,25 to 35,female : non-single or male : single,none,less than 1 year,unknown/no property,27,none,rent,1,skilled employee/official,0 to 2,no,no,1
528,200 DM or more,18,no credits taken/all credits paid back duly,furniture/equipment,1505,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,real estate,32,none,own,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
529,200 DM or more,18,all credits at this bank paid back duly,furniture/equipment,2238,unknown/no savings account,1 to 4 yrs,25 to 35,female : non-single or male : single,none,less than 1 year,building soc. savings agr./life insurance,25,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
530,200 DM or more,4,all credits at this bank paid back duly,furniture/equipment,1503,unknown/no savings account,4 to 7 yrs,25 to 35,male : married/widowed,none,less than 1 year,unknown/no property,42,none,rent,2-3,unskilled-resident,3 or more,no,no,1
531,200 DM or more,24,all credits at this bank paid back duly,car (new),2197,1000 DM or more,4 to 7 yrs,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,43,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,1
532,0 to 200 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1881,unknown/no savings account,1 to 4 yrs,25 to 35,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,44,none,for free,1,unskilled-resident,0 to 2,yes (under customer name),no,1
533,no checking account,18,all credits at this bank paid back duly,furniture/equipment,1880,unknown/no savings account,4 to 7 yrs,less than 20,female : single,none,less than 1 year,car or other,32,none,rent,2-3,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
534,no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,2389,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,less than 1 year,building soc. savings agr./life insurance,27,stores,rent,1,skilled employee/official,0 to 2,no,no,1
535,less than 0 DM,24,no credits taken/all credits paid back duly,furniture/equipment,1967,unknown/no savings account,7 yrs or more,less than 20,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,20,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
536,200 DM or more,4,all credits at this bank paid back duly,others,3380,unknown/no savings account,4 to 7 yrs,35 or more,female : non-single or male : single,none,less than 1 year,unknown/no property,37,none,rent,1,skilled employee/official,3 or more,no,no,1
537,200 DM or more,4,all credits at this bank paid back duly,others,1455,unknown/no savings account,4 to 7 yrs,25 to 35,male : married/widowed,none,less than 1 year,unknown/no property,42,none,rent,4-5,unskilled-resident,3 or more,no,no,1
538,200 DM or more,7,all credits at this bank paid back duly,furniture/equipment,730,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,1 to 4 yrs,car or other,46,none,for free,2-3,unskilled-resident,0 to 2,yes (under customer name),no,1
539,less than 0 DM,18,delay in paying off in the past,car (used),3244,unknown/no savings account,1 to 4 yrs,35 or more,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,33,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
540,less than 0 DM,9,no credits taken/all credits paid back duly,furniture/equipment,1670,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
541,less than 0 DM,48,no credits taken/all credits paid back duly,furniture/equipment,3979,1000 DM or more,4 to 7 yrs,less than 20,male : married/widowed,none,less than 1 year,building soc. savings agr./life insurance,41,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,1
542,less than 0 DM,12,no credits taken/all credits paid back duly,car (used),1922,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,car or other,37,none,rent,1,unskilled-resident,0 to 2,no,no,0
543,less than 0 DM,18,all credits at this bank paid back duly,car (used),1295,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,less than 1 year,car or other,27,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
544,200 DM or more,4,all credits at this bank paid back duly,furniture/equipment,1544,unknown/no savings account,4 to 7 yrs,25 to 35,male : married/widowed,none,less than 1 year,unknown/no property,42,none,rent,4-5,unskilled-resident,3 or more,no,no,1
545,less than 0 DM,8,no credits taken/all credits paid back duly,retraining,907,unknown/no savings account,less than 1 year,20 to 25,female : single,none,1 to 4 yrs,unknown/no property,26,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
546,less than 0 DM,30,no credits taken/all credits paid back duly,furniture/equipment,1715,1000 DM or more,1 to 4 yrs,less than 20,female : non-single or male : single,none,less than 1 year,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,1
547,0 to 200 DM,10,all credits at this bank paid back duly,furniture/equipment,1347,1000 DM or more,4 to 7 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,car or other,27,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
548,less than 0 DM,12,no credits taken/all credits paid back duly,others,1007,500 to 1000 DM,1 to 4 yrs,less than 20,female : single,none,less than 1 year,unknown/no property,22,none,rent,1,skilled employee/official,0 to 2,no,no,1
549,200 DM or more,12,all credits at this bank paid back duly,car (used),1402,100 to 500 DM,4 to 7 yrs,20 to 25,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,37,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,1
550,less than 0 DM,12,no credits taken/all credits paid back duly,others,2002,unknown/no savings account,4 to 7 yrs,20 to 25,male : married/widowed,none,7 yrs or more,car or other,30,none,for free,1,skilled employee/official,3 or more,yes (under customer name),no,1
551,200 DM or more,12,all credits at this bank paid back duly,repairs,2096,unknown/no savings account,4 to 7 yrs,25 to 35,male : married/widowed,none,4 to 7 yrs,unknown/no property,49,none,rent,1,unskilled-resident,3 or more,no,no,1
552,200 DM or more,12,no credits taken/all credits paid back duly,others,1101,unknown/no savings account,1 to 4 yrs,20 to 25,female : single,none,1 to 4 yrs,unknown/no property,27,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
553,200 DM or more,10,no credits taken/all credits paid back duly,vacation,894,1000 DM or more,4 to 7 yrs,less than 20,female : non-single or male : single,none,4 to 7 yrs,car or other,40,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
554,less than 0 DM,11,no credits taken/all credits paid back duly,car (used),1577,500 to 1000 DM,less than 1 year,less than 20,female : non-single or male : single,none,less than 1 year,unknown/no property,20,none,rent,1,skilled employee/official,0 to 2,no,no,1
555,200 DM or more,33,existing credits paid back duly till now,retraining,2764,unknown/no savings account,1 to 4 yrs,25 to 35,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,26,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
556,less than 0 DM,48,delay in paying off in the past,others,8358,100 to 500 DM,less than 1 year,35 or more,female : non-single or male : single,none,less than 1 year,building soc. savings agr./life insurance,30,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
557,0 to 200 DM,12,no credits taken/all credits paid back duly,car (used),1474,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,less than 1 year,car or other,33,bank,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
558,200 DM or more,24,no credits taken/all credits paid back duly,car (new),5433,1000 DM or more,unemployed,25 to 35,female : non-single or male : single,none,7 yrs or more,car or other,26,none,for free,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
559,less than 0 DM,14,no credits taken/all credits paid back duly,retraining,1410,100 to 500 DM,7 yrs or more,35 or more,female : single,none,1 to 4 yrs,unknown/no property,35,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
560,200 DM or more,20,all credits at this bank paid back duly,others,3485,1000 DM or more,less than 1 year,25 to 35,male : divorced/separated,none,7 yrs or more,unknown/no property,44,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
561,200 DM or more,18,all credits at this bank paid back duly,car (new),3850,unknown/no savings account,4 to 7 yrs,20 to 25,male : married/widowed,none,less than 1 year,building soc. savings agr./life insurance,27,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
562,less than 0 DM,60,no credits taken/all credits paid back duly,others,7408,less than 100 DM,less than 1 year,less than 20,female : non-single or male : single,none,1 to 4 yrs,car or other,24,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,no,no,0
563,0 to 200 DM,24,no credits taken/all credits paid back duly,furniture/equipment,1377,less than 100 DM,7 yrs or more,less than 20,female : non-single or male : single,none,1 to 4 yrs,real estate,47,none,own,1,skilled employee/official,0 to 2,yes (under customer name),no,1
